source,target,Type,Label,Color,weight
1,36,Directed,AP,#F44336,0
1,50,Directed,AP,#F44336,0
2,36,Directed,AP,#F44336,0
2,14,Directed,AP,#F44336,0
2,30,Directed,AP,#F44336,0
2,31,Directed,AP,#F44336,0
2,32,Directed,AP,#F44336,0
3,36,Directed,AP,#F44336,0
4,50,Directed,AP,#F44336,0
4,25,Directed,AP,#F44336,0
7,31,Directed,AP,#F44336,0
9,25,Directed,AP,#F44336,0
9,14,Directed,AP,#F44336,0
9,30,Directed,AP,#F44336,0
10,50,Directed,AP,#F44336,0
10,25,Directed,AP,#F44336,0
11,25,Directed,AP,#F44336,0
11,30,Directed,AP,#F44336,0
11,36,Directed,AP,#F44336,0
12,7,Directed,AP,#F44336,0
12,9,Directed,AP,#F44336,0
11,19,Directed,AP,#F44336,0
19,30,Directed,AP,#F44336,0
19,25,Directed,AP,#F44336,0
35,50,Directed,AP,#F44336,0
36,50,Directed,AP,#F44336,0
36,47,Directed,AP,#F44336,0
37,50,Directed,AP,#F44336,0
37,47,Directed,AP,#F44336,0
37,25,Directed,AP,#F44336,0
13,19,Directed,Input,#43A047,0
13,14,Directed,Input,#43A047,0
13,30,Directed,Input,#43A047,0
13,25,Directed,Input,#43A047,0
14,25,Directed,Input,#43A047,0
15,25,Directed,Input,#43A047,0
16,14,Directed,Input,#43A047,0
16,25,Directed,Input,#43A047,0
17,23,Directed,Input,#43A047,0
18,25,Directed,Input,#43A047,0
18,30,Directed,Input,#43A047,0
20,19,Directed,Input,#43A047,0
20,25,Directed,Input,#43A047,0
20,30,Directed,Input,#43A047,0
20,27,Directed,Input,#43A047,0
20,28,Directed,Input,#43A047,0
21,25,Directed,Input,#43A047,0
22,25,Directed,Input,#43A047,0
23,25,Directed,Input,#43A047,0
30,25,Directed,Input,#43A047,0
31,25,Directed,Input,#43A047,0
39,19,Directed,Input,#43A047,0
39,14,Directed,Input,#43A047,0
39,30,Directed,Input,#43A047,0
39,25,Directed,Input,#43A047,0
13,39,Directed,Input,#43A047,0
13,40,Directed,Input,#43A047,0
40,19,Directed,Input,#43A047,0
40,14,Directed,Input,#43A047,0
40,30,Directed,Input,#43A047,0
40,25,Directed,Input,#43A047,0
20,42,Directed,Input,#43A047,0
42,19,Directed,Input,#43A047,0
42,25,Directed,Input,#43A047,0
42,30,Directed,Input,#43A047,0
42,27,Directed,Input,#43A047,0
42,28,Directed,Input,#43A047,0
18,41,Directed,Input,#43A047,0
41,25,Directed,Input,#43A047,0
41,30,Directed,Input,#43A047,0
44,19,Directed,Input,#43A047,0
45,14,Directed,Input,#43A047,0
45,30,Directed,Input,#43A047,0
45,31,Directed,Input,#43A047,0
45,36,Directed,Input,#43A047,0
45,37,Directed,Input,#43A047,0
1,47,Directed,Subject,#673AB7,0
25,50,Directed,Subject,#673AB7,0
25,47,Directed,Subject,#673AB7,0
26,11,Directed,Subject,#673AB7,0
27,25,Directed,Subject,#673AB7,0
27,30,Directed,Subject,#673AB7,0
27,19,Directed,Subject,#673AB7,0
28,36,Directed,Subject,#673AB7,0
33,25,Directed,Subject,#673AB7,0
33,30,Directed,Subject,#673AB7,0
33,19,Directed,Subject,#673AB7,0
33,9,Directed,Subject,#673AB7,0
34,19,Directed,Subject,#673AB7,0
34,30,Directed,Subject,#673AB7,0
43,25,Directed,Subject,#673AB7,0
43,30,Directed,Subject,#673AB7,0
43,19,Directed,Subject,#673AB7,0
43,36,Directed,Subject,#673AB7,0
27,43,Directed,Subject,#673AB7,0
47,50,Directed,Subject,#673AB7,0
